Timestamp_ms,EMG_Value
pe:17.75
Rectified_Signal:0.55,Rectwin_Envelope:18.61,Hanning_Envelope:18.57
Rectified_Signal:51.45,Rectwin_Envelope:19.10,Hanning_Envelope:18.37
Rectified_Signal:32.38,Rectwin_Envelope:19.28,Hanning_Envelope:18.17
Rectified_Signal:26.56,Rectwin_Envelope:19.58,Hanning_Envelope:18.00
Rectified_Signal:7.42,Rectwin_Envelope:19.60,Hanning_Envelope:17.84
Rectified_Signal:15.55,Rectwin_Envelope:19.48,Hanning_Envelope:17.70
Rectified_Signal:30.49,Rectwin_Envelope:19.57,Hanning_Envelope:17.60
Rectified_Signal:20.47,Rectwin_Envelope:19.32,Hanning_Envelope:17.52
Rectified_Signal:42.39,Rectwin_Envelope:19.12,Hanning_Envelope:17.47
Rectified_Signal:3.60,Rectwin_Envelope:18.82,Hanning_Envelope:17.46
Rectified_Signal:14.58,Rectwin_Envelope:18.87,Hanning_Envelope:17.48
Rectified_Signal:28.37,Rectwin_Envelope:19.10,Hanning_Envelope:17.52
Rectified_Signal:15.34,Rectwin_Envelope:19.17,Hanning_Envelope:17.57
Rectified_Signal:19.30,Rectwin_Envelope:19.13,Hanning_Envelope:17.65
Rectified_Signal:34.23,Rectwin_Envelope:19.22,Hanning_Envelope:17.75
Rectified_Signal:14.74,Rectwin_Envelope:19.25,Hanning_Envelope:17.88
Rectified_Signal:15.71,Rectwin_Envelope:19.51,Hanning_Envelope:18.03
Rectified_Signal:38.21,Rectwin_Envelope:19.17,Hanning_Envelope:18.19
Rectified_Signal:34.15,Rectwin_Envelope:18.82,Hanning_Envelope:18.37
Rectified_Signal:1.85,Rectwin_Envelope:18.26,Hanning_Envelope:18.57
Rectified_Signal:16.12,Rectwin_Envelope:18.47,Hanning_Envelope:18.79
Rectified_Signal:24.83,Rectwin_Envelope:18.75,Hanning_Envelope:18.99
Rectified_Signal:1.83,Rectwin_Envelope:18.73,Hanning_Envelope:19.18
Rectified_Signal:1.82,Rectwin_Envelope:18.75,Hanning_Envelope:19.36
Rectified_Signal:30.11,Rectwin_Envelope:18.52,Hanning_Envelope:19.53
Rectified_Signal:45.02,Rectwin_Envelope:18.71,Hanning_Envelope:19.69
Rectified_Signal:15.94,Rectwin_Envelope:18.76,Hanning_Envelope:19.84
Rectified_Signal:16.91,Rectwin_Envelope:19.05,Hanning_Envelope:19.97
Rectified_Signal:4.08,Rectwin_Envelope:19.11,Hanning_Envelope:20.08
Rectified_Signal:27.86,Rectwin_Envelope:19.59,Hanning_Envelope:20.17
Rectified_Signal:1.14,Rectwin_Envelope:19.34,Hanning_Envelope:20.24
Rectified_Signal:17.10,Rectwin_Envelope:19.34,Hanning_Envelope:20.30
Rectified_Signal:18.86,Rectwin_Envelope:19.58,Hanning_Envelope:20.35
Rectified_Signal:21.82,Rectwin_Envelope:19.89,Hanning_Envelope:20.38
Rectified_Signal:32.12,Rectwin_Envelope:20.02,Hanning_Envelope:20.39
Rectified_Signal:44.03,Rectwin_Envelope:20.22,Hanning_Envelope:20.40
Rectified_Signal:7.02,Rectwin_Envelope:20.00,Hanning_Envelope:20.40
Rectified_Signal:11.99,Rectwin_Envelope:20.08,Hanning_Envelope:20.40
Rectified_Signal:7.99,Rectwin_Envelope:19.49,Hanning_Envelope:20.39
Rectified_Signal:12.96,Rectwin_Envelope:19.14,Hanning_Envelope:20.38
Rectified_Signal:24.99,Rectwin_Envelope:19.25,Hanning_Envelope:20.36
Rectified_Signal:41.90,Rectwin_Envelope:19.55,Hanning_Envelope:20.32
Rectified_Signal:6.08,Rectwin_Envelope:19.15,Hanning_Envelope:20.26
Rectified_Signal:13.06,Rectwin_Envelope:19.34,Hanning_Envelope:20.20
Rectified_Signal:8.92,Rectwin_Envelope:19.50,Hanning_Envelope:20.12
Rectified_Signal:11.90,Rectwin_Envelope:19.39,Hanning_Envelope:20.02
Rectified_Signal:9.88,Rectwin_Envelope:19.36,Hanning_Envelope:19.91
Rectified_Signal:18.84,Rectwin_Envelope:19.39,Hanning_Envelope:19.79
Rectified_Signal:21.80,Rectwin_Envelope:19.49,Hanning_Envelope:19.66
Rectified_Signal:13.18,Rectwin_Envelope:19.55,Hanning_Envelope:19.53
Rectified_Signal:2.82,Rectwin_Envelope:19.59,Hanning_Envelope:19.40
Rectified_Signal:39.74,Rectwin_Envelope:19.36,Hanning_Envelope:19.27
Rectified_Signal:41.66,Rectwin_Envelope:19.55,Hanning_Envelope:19.14
Rectified_Signal:8.64,Rectwin_Envelope:19.19,Hanning_Envelope:19.02
Rectified_Signal:9.62,Rectwin_Envelope:19.23,Hanning_Envelope:18.91
Rectified_Signal:40.30,Rectwin_Envelope:19.73,Hanning_Envelope:18.81
Rectified_Signal:31.24,Rectwin_Envelope:19.74,Hanning_Envelope:18.71
Rectified_Signal:28.71,Rectwin_Envelope:19.91,Hanning_Envelope:18.63
Rectified_Signal:53.60,Rectwin_Envelope:20.13,Hanning_Envelope:18.57
Rectified_Signal:32.34,Rectwin_Envelope:20.70,Hanning_Envelope:18.54
Rectified_Signal:0.34,Rectwin_Envelope:20.42,Hanning_Envelope:18.52
Rectified_Signal:5.65,Rectwin_Envelope:19.97,Hanning_Envelope:18.54
Rectified_Signal:16.31,Rectwin_Envelope:19.99,Hanning_Envelope:18.59
Rectified_Signal:2.68,Rectwin_Envelope:19.65,Hanning_Envelope:18.66
Rectified_Signal:17.65,Rectwin_Envelope:19.32,Hanning_Envelope:18.74
Rectified_Signal:28.30,Rectwin_Envelope:19.59,Hanning_Envelope:18.85
Rectified_Signal:11.27,Rectwin_Envelope:19.50,Hanning_Envelope:18.95
Rectified_Signal:27.67,Rectwin_Envelope:19.29,Hanning_Envelope:19.07
Rectified_Signal:15.64,Rectwin_Envelope:18.92,Hanning_Envelope:19.19
Rectified_Signal:17.33,Rectwin_Envelope:19.23,Hanning_Envelope:19.32
Rectified_Signal:1.67,Rectwin_Envelope:18.94,Hanning_Envelope:19.44
Rectified_Signal:18.29,Rectwin_Envelope:18.81,Hanning_Envelope:19.56
Rectified_Signal:19.25,Rectwin_Envelope:19.16,Hanning_Envelope:19.67
Rectified_Signal:35.67,Rectwin_Envelope:19.84,Hanning_Envelope:19.76
Rectified_Signal:28.62,Rectwin_Envelope:19.81,Hanning_Envelope:19.84
Rectified_Signal:2.38,Rectwin_Envelope:18.96,Hanning_Envelope:19.92
Rectified_Signal:2.62,Rectwin_Envelope:18.69,Hanning_Envelope:20.00
Rectified_Signal:8.60,Rectwin_Envelope:18.52,Hanning_Envelope:20.07
Rectified_Signal:14.37,Rectwin_Envelope:18.73,Hanning_Envelope:20.12
Rectified_Signal:16.34,Rectwin_Envelope:18.50,Hanning_Envelope:20.13
Rectified_Signal:16.63,Rectwin_Envelope:18.81,Hanning_Envelope:20.13
Rectified_Signal:11.60,Rectwin_Envelope:18.70,Hanning_Envelope:20.09
Rectified_Signal:12.37,Rectwin_Envelope:18.57,Hanning_Envelope:20.04
Rectified_Signal:3.36,Rectwin_Envelope:18.20,Hanning_Envelope:19.97
Rectified_Signal:23.59,Rectwin_Envelope:18.03,Hanning_Envelope:19.87
Rectified_Signal:22.54,Rectwin_Envelope:17.60,Hanning_Envelope:19.75
Rectified_Signal:18.42,Rectwin_Envelope:17.83,Hanning_Envelope:19.60
Rectified_Signal:4.57,Rectwin_Envelope:17.68,Hanning_Envelope:19.43
Rectified_Signal:27.37,Rectwin_Envelope:18.07,Hanning_Envelope:19.23
Rectified_Signal:32.31,Rectwin_Envelope:18.45,Hanning_Envelope:19.01
Rectified_Signal:28.63,Rectwin_Envelope:18.53,Hanning_Envelope:18.77
Rectified_Signal:43.55,Rectwin_Envelope:18.56,Hanning_Envelope:18.53
Rectified_Signal:22.41,Rectwin_Envelope:18.88,Hanning_Envelope:18.30
Rectified_Signal:6.58,Rectwin_Envelope:18.76,Hanning_Envelope:18.07
Rectified_Signal:17.54,Rectwin_Envelope:18.93,Hanning_Envelope:17.85
Rectified_Signal:2.45,Rectwin_Envelope:18.74,Hanning_Envelope:17.64
Rectified_Signal:8.43,Rectwin_Envelope:18.71,Hanning_Envelope:17.45
Rectified_Signal:19.53,Rectwin_Envelope:18.72,Hanning_Envelope:17.28
Rectified_Signal:28.42,Rectwin_Envelope:18.86,Hanning_Envelope:17.13
Rectified_Signal:22.37,Rectwin_Envelope:19.04,Hanning_Envelope:17.00
Rectified_Signal:47.53,Rectwin_Envelope:19.93,Hanning_Envelope:16.91
Rectified_Signal:17.50,Rectwin_Envelope:19.49,Hanning_Envelope:16.83
Rectified_Signal:8.48,Rectwin_Envelope:18.83,Hanning_Envelope:16.81
Rectified_Signal:11.49,Rectwin_Envelope:18.88,Hanning_Envelope:16.84
Rectified_Signal:11.47,Rectwin_Envelope:18.92,Hanning_Envelope:16.90
Rectified_Signal:10.51,Rectwin_Envelope:18.32,Hanning_Envelope:16.97
Rectified_Signal:3.48,Rectwin_Envelope:17.77,Hanning_Envelope:17.08
Rectified_Signal:29.43,Rectwin_Envelope:17.78,Hanning_Envelope:17.22
Rectified_Signal:48.33,Rectwin_Envelope:17.68,Hanning_Envelope:17.36
Rectified_Signal:28.61,Rectwin_Envelope:17.60,Hanning_Envelope:17.51
Rectified_Signal:12.59,Rectwin_Envelope:17.85,Hanning_Envelope:17.68
Rectified_Signal:7.57,Rectwin_Envelope:17.89,Hanning_Envelope:17.84
Rectified_Signal:22.53,Rectwin_Envelope:18.01,Hanning_Envelope:18.00
Rectified_Signal:18.43,Rectwin_Envelope:18.33,Hanning_Envelope:18.16
Rectified_Signal:7.42,Rectwin_Envelope:18.12,Hanning_Envelope:18.31
Rectified_Signal:31.52,Rectwin_Envelope:18.19,Hanning_Envelope:18.47
Rectified_Signal:13.49,Rectwin_Envelope:18.23,Hanning_Envelope:18.61
Rectified_Signal:29.45,Rectwin_Envelope:18.27,Hanning_Envelope:18.75
Rectified_Signal:28.39,Rectwin_Envelope:18.52,Hanning_Envelope:18.89
Rectified_Signal:15.57,Rectwin_Envelope:18.49,Hanning_Envelope:19.02
Rectified_Signal:1.42,Rectwin_Envelope:18.48,Hanning_Envelope:19.14
Rectified_Signal:23.53,Rectwin_Envelope:18.59,Hanning_Envelope:19.24
Rectified_Signal:30.47,Rectwin_Envelope:18.81,Hanning_Envelope:19.34
Rectified_Signal:19.49,Rectwin_Envelope:18.49,Hanning_Envelope:19.42
Rectified_Signal:43.41,Rectwin_Envelope:18.78,Hanning_Envelope:19.50
Rectified_Signal:23.55,Rectwin_Envelope:19.21,Hanning_Envelope:19.57
Rectified_Signal:13.52,Rectwin_Envelope:19.42,Hanning_Envelope:19.62
Rectified_Signal:12.46,Rectwin_Envelope:19.50,Hanning_Envelope:19.67
Rectified_Signal:3.54,Rectwin_Envelope:19.28,Hanning_Envelope:19.70
Rectified_Signal:12.44,Rectwin_Envelope:19.21,Hanning_Envelope:19.74
Rectified_Signal:18.40,Rectwin_Envelope:19.24,Hanning_Envelope:19.76
Rectified_Signal:18.36,Rectwin_Envelope:19.38,Hanning_Envelope:19.78
Rectified_Signal:39.56,Rectwin_Envelope:19.92,Hanning_Envelope:19.79
Rectified_Signal:22.51,Rectwin_Envelope:20.30,Hanning_Envelope:19.79
Rectified_Signal:31.43,Rectwin_Envelope:20.46,Hanning_Envelope:19.79
Rectified_Signal:22.38,Rectwin_Envelope:20.46,Hanning_Envelope:19.80
Rectified_Signal:4.61,Rectwin_Envelope:20.18,Hanning_Envelope:19.82
Rectified_Signal:11.37,Rectwin_Envelope:20.32,Hanning_Envelope:19.85
Rectified_Signal:15.60,Rectwin_Envelope:20.08,Hanning_Envelope:19.88
Rectified_Signal:10.58,Rectwin_Envelope:19.65,Hanning_Envelope:19.91
Rectified_Signal:23.37,Rectwin_Envelope:19.54,Hanning_Envelope:19.95
Rectified_Signal:40.29,Rectwin_Envelope:19.48,Hanning_Envelope:19.99
Rectified_Signal:8.69,Rectwin_Envelope:19.20,Hanning_Envelope:20.02
Rectified_Signal:8.67,Rectwin_Envelope:19.24,Hanning_Envelope:20.05
Rectified_Signal:11.30,Rectwin_Envelope:19.12,Hanning_Envelope:20.06
Rectified_Signal:15.27,Rectwin_Envelope:19.38,Hanning_Envelope:20.06
Rectified_Signal:1.27,Rectwin_Envelope:19.23,Hanning_Envelope:20.04
Rectified_Signal:30.21,Rectwin_Envelope:19.45,Hanning_Envelope:20.01
Rectified_Signal:14.76,Rectwin_Envelope:19.17,Hanning_Envelope:19.96
Rectified_Signal:3.75,Rectwin_Envelope:18.80,Hanning_Envelope:19.91
Rectified_Signal:46.16,Rectwin_Envelope:18.77,Hanning_Envelope:19.85
Rectified_Signal:39.08,Rectwin_Envelope:19.20,Hanning_Envelope:19.77
Rectified_Signal:2.92,Rectwin_Envelope:19.09,Hanning_Envelope:19.68
Rectified_Signal:7.07,Rectwin_Envelope:19.00,Hanning_Envelope:19.59
Rectified_Signal:7.06,Rectwin_Envelope:18.92,Hanning_Envelope:19.49
Rectified_Signal:5.05,Rectwin_Envelope:18.81,Hanning_Envelope:19.37
Rectified_Signal:35.97,Rectwin_Envelope:19.46,Hanning_Envelope:19.25
Rectified_Signal:42.89,Rectwin_Envelope:19.73,Hanning_Envelope:19.12
Rectified_Signal:48.79,Rectwin_Envelope:19.74,Hanning_Envelope:18.99
Rectified_Signal:21.17,Rectwin_Envelope:19.59,Hanning_Envelope:18.88
Rectified_Signal:8.15,Rectwin_Envelope:19.50,Hanning_Envelope:18.79
Rectified_Signal:15.12,Rectwin_Envelope:19.65,Hanning_Envelope:18.71
Rectified_Signal:9.10,Rectwin_Envelope:19.38,Hanning_Envelope:18.64
Rectified_Signal:18.86,Rectwin_Envelope:19.39,Hanning_Envelope:18.59
Rectified_Signal:31.80,Rectwin_Envelope:19.88,Hanning_Envelope:18.55
Rectified_Signal:19.16,Rectwin_Envelope:19.63,Hanning_Envelope:18.51
Rectified_Signal:14.14,Rectwin_Envelope:19.64,Hanning_Envelope:18.50
Rectified_Signal:33.80,Rectwin_Envelope:19.73,Hanning_Envelope:18.51
Rectified_Signal:32.73,Rectwin_Envelope:19.82,Hanning_Envelope:18.54
Rectified_Signal:14.24,Rectwin_Envelope:19.79,Hanning_Envelope:18.58
Rectified_Signal:11.22,Rectwin_Envelope:19.98,Hanning_Envelope:18.65
Rectified_Signal:29.16,Rectwin_Envelope:20.10,Hanning_Envelope:18.73
Rectified_Signal:27.11,Rectwin_Envelope:20.03,Hanning_Envelope:18.83
Rectified_Signal:43.81,Rectwin_Envelope:20.52,Hanning_Envelope:18.95
Rectified_Signal:49.71,Rectwin_Envelope:20.64,Hanning_Envelope:19.09
Rectified_Signal:14.26,Rectwin_Envelope:20.46,Hanning_Envelope:19.26
Rectified_Signal:3.26,Rectwin_Envelope:20.25,Hanning_Envelope:19.45
Rectified_Signal:8.73,Rectwin_Envelope:20.18,Hanning_Envelope:19.65
Rectified_Signal:11.70,Rectwin_Envelope:20.34,Hanning_Envelope:19.86
Rectified_Signal:2.70,Rectwin_Envelope:20.15,Hanning_Envelope:20.07
Rectified_Signal:17.66,Rectwin_Envelope:20.13,Hanning_Envelope:20.29
Rectified_Signal:37.26,Rectwin_Envelope:20.51,Hanning_Envelope:20.50
Rectified_Signal:18.23,Rectwin_Envelope:20.08,Hanning_Envelope:20.69
Rectified_Signal:56.66,Rectwin_Envelope:20.77,Hanning_Envelope:20.90
Rectified_Signal:46.57,Rectwin_Envelope:21.07,Hanning_Envelope:21.10
Rectified_Signal:14.40,Rectwin_Envelope:20.91,Hanning_Envelope:21.29
Rectified_Signal:17.56,Rectwin_Envelope:21.17,Hanning_Envelope:21.49
Rectified_Signal:17.53,Rectwin_Envelope:21.29,Hanning_Envelope:21.67
Rectified_Signal:14.45,Rectwin_Envelope:21.27,Hanning_Envelope:21.84
Rectified_Signal:11.42,Rectwin_Envelope:21.28,Hanning_Envelope:22.00
Rectified_Signal:38.50,Rectwin_Envelope:21.59,Hanning_Envelope:22.16
Rectified_Signal:46.41,Rectwin_Envelope:21.71,Hanning_Envelope:22.29
Rectified_Signal:19.55,Rectwin_Envelope:21.93,Hanning_Envelope:22.42
Rectified_Signal:1.44,Rectwin_Envelope:21.78,Hanning_Envelope:22.54
Rectified_Signal:17.41,Rectwin_Envelope:21.90,Hanning_Envelope:22.65
Rectified_Signal:9.57,Rectwin_Envelope:21.79,Hanning_Envelope:22.74
Rectified_Signal:20.39,Rectwin_Envelope:22.17,Hanning_Envelope:22.82
Rectified_Signal:33.32,Rectwin_Envelope:22.23,Hanning_Envelope:22.88
Rectified_Signal:10.30,Rectwin_Envelope:22.15,Hanning_Envelope:22.92
Rectified_Signal:2.30,Rectwin_Envelope:22.12,Hanning_Envelope:22.96
Rectified_Signal:49.20,Rectwin_Envelope:22.18,Hanning_Envelope:22.98
Rectified_Signal:24.15,Rectwin_Envelope:21.88,Hanning_Envelope:22.98
Rectified_Signal:0.15,Rectwin_Envelope:21.82,Hanning_Envelope:22.98
Rectified_Signal:5.84,Rectwin_Envelope:21.80,Hanning_Envelope:22.97
Rectified_Signal:5.83,Rectwin_Envelope:21.77,Hanning_Envelope:22.93
Rectified_Signal:14.80,Rectwin_Envelope:21.97,Hanning_Envelope:22.86
Rectified_Signal:23.16,Rectwin_Envelope:21.71,Hanning_Envelope:22.78
Rectified_Signal:38.08,Rectwin_Envelope:21.62,Hanning_Envelope:22.68
Rectified_Signal:32.85,Rectwin_Envelope:21.30,Hanning_Envelope:22.57
Rectified_Signal:2.85,Rectwin_Envelope:20.93,Hanning_Envelope:22.46
Rectified_Signal:17.12,Rectwin_Envelope:21.11,Hanning_Envelope:22.33
Rectified_Signal:4.87,Rectwin_Envelope:20.91,Hanning_Envelope:22.17
Rectified_Signal:10.85,Rectwin_Envelope:20.94,Hanning_Envelope:22.00
Rectified_Signal:1.85,Rectwin_Envelope:20.60,Hanning_Envelope:21.80
Rectified_Signal:18.12,Rectwin_Envelope:20.33,Hanning_Envelope:21.59
Rectified_Signal:12.86,Rectwin_Envelope:20.20,Hanning_Envelope:21.36
Rectified_Signal:12.83,Rectwin_Envelope:20.17,Hanning_Envelope:21.12
Rectified_Signal:32.10,Rectwin_Envelope:20.14,Hanning_Envelope:20.86
Rectified_Signal:49.01,Rectwin_Envelope:20.47,Hanning_Envelope:20.60
Rectified_Signal:5.98,Rectwin_Envelope:20.30,Hanning_Envelope:20.33
Rectified_Signal:11.99,Rectwin_Envelope:20.32,Hanning_Envelope:20.06
Rectified_Signal:7.99,Rectwin_Envelope:19.89,Hanning_Envelope:19.79
Rectified_Signal:9.97,Rectwin_Envelope:19.55,Hanning_Envelope:19.54
Rectified_Signal:33.96,Rectwin_Envelope:19.35,Hanning_Envelope:19.28
Rectified_Signal:45.87,Rectwin_Envelope:19.28,Hanning_Envelope:19.04
Rectified_Signal:16.10,Rectwin_Envelope:19.31,Hanning_Envelope:18.80
Rectified_Signal:2.09,Rectwin_Envelope:19.29,Hanning_Envelope:18.58
Rectified_Signal:9.89,Rectwin_Envelope:19.31,Hanning_Envelope:18.36
Rectified_Signal:1.88,Rectwin_Envelope:19.12,Hanning_Envelope:18.15
Rectified_Signal:2.88,Rectwin_Envelope:19.12,Hanning_Envelope:17.96
Rectified_Signal:29.82,Rectwin_Envelope:19.36,Hanning_Envelope:17.79
Rectified_Signal:21.14,Rectwin_Envelope:19.04,Hanning_Envelope:17.62
Rectified_Signal:25.09,Rectwin_Envelope:19.18,Hanning_Envelope:17.49
Rectified_Signal:38.83,Rectwin_Envelope:18.82,Hanning_Envelope:17.39
Rectified_Signal:39.75,Rectwin_Envelope:18.69,Hanning_Envelope:17.31
Rectified_Signal:10.23,Rectwin_Envelope:18.60,Hanning_Envelope:17.27
Rectified_Signal:5.76,Rectwin_Envelope:18.37,Hanning_Envelope:17.25
Rectified_Signal:18.20,Rectwin_Envelope:18.38,Hanning_Envelope:17.25
Rectified_Signal:32.14,Rectwin_Envelope:18.73,Hanning_Envelope:17.27
Rectified_Signal:26.08,Rectwin_Envelope:19.03,Hanning_Envelope:17.30
Rectified_Signal:37.84,Rectwin_Envelope:19.01,Hanning_Envelope:17.35
Rectified_Signal:27.78,Rectwin_Envelope:18.64,Hanning_Envelope:17.43
Rectified_Signal:30.15,Rectwin_Envelope:18.85,Hanning_Envelope:17.55
Rectified_Signal:4.84,Rectwin_Envelope:18.92,Hanning_Envelope:17.68
Rectified_Signal:10.14,Rectwin_Envelope:18.78,Hanning_Envelope:17.83
Rectified_Signal:2.14,Rectwin_Envelope:18.63,Hanning_Envelope:17.99
Rectified_Signal:3.13,Rectwin_Envelope:18.28,Hanning_Envelope:18.16
Rectified_Signal:16.83,Rectwin_Envelope:17.95,Hanning_Envelope:18.34
Rectified_Signal:17.13,Rectwin_Envelope:18.09,Hanning_Envelope:18.52
Rectified_Signal:12.84,Rectwin_Envelope:18.30,Hanning_Envelope:18.68
Rectified_Signal:46.75,Rectwin_Envelope:18.25,Hanning_Envelope:18.84
Rectified_Signal:35.68,Rectwin_Envelope:18.48,Hanning_Envelope:18.99
Rectified_Signal:1.67,Rectwin_Envelope:18.51,Hanning_Envelope:19.14
Rectified_Signal:21.63,Rectwin_Envelope:18.83,Hanning_Envelope:19.27
Rectified_Signal:33.30,Rectwin_Envelope:19.38,Hanning_Envelope:19.40
Rectified_Signal:30.24,Rectwin_Envelope:19.69,Hanning_Envelope:19.51
Rectified_Signal:21.71,Rectwin_Envelope:19.66,Hanning_Envelope:19.61
Rectified_Signal:48.62,Rectwin_Envelope:19.87,Hanning_Envelope:19.73
Rectified_Signal:12.36,Rectwin_Envelope:19.46,Hanning_Envelope:19.84
Rectified_Signal:5.63,Rectwin_Envelope:19.51,Hanning_Envelope:19.96
Rectified_Signal:1.63,Rectwin_Envelope:19.20,Hanning_Envelope:20.06
Rectified_Signal:3.37,Rectwin_Envelope:19.17,Hanning_Envelope:20.16
Rectified_Signal:1.63,Rectwin_Envelope:18.99,Hanning_Envelope:20.24
Rectified_Signal:7.62,Rectwin_Envelope:19.10,Hanning_Envelope:20.30
Rectified_Signal:22.34,Rectwin_Envelope:19.19,Hanning_Envelope:20.33
Rectified_Signal:2.33,Rectwin_Envelope:18.98,Hanning_Envelope:20.35
Rectified_Signal:1.66,Rectwin_Envelope:18.76,Hanning_Envelope:20.34
Rectified_Signal:43.58,Rectwin_Envelope:18.98,Hanning_Envelope:20.31
Rectified_Signal:16.54,Rectwin_Envelope:18.34,Hanning_Envelope:20.26
Rectified_Signal:14.51,Rectwin_Envelope:18.51,Hanning_Envelope:20.19
Rectified_Signal:21.47,Rectwin_Envelope:18.70,Hanning_Envelope:20.10
Rectified_Signal:16.50,Rectwin_Envelope:18.87,Hanning_Envelope:19.98
Rectified_Signal:21.45,Rectwin_Envelope:19.10,Hanning_Envelope:19.84
Rectified_Signal:33.48,Rectwin_Envelope:19.09,Hanning_Envelope:19.69
Rectified_Signal:38.40,Rectwin_Envelope:18.94,Hanning_Envelope:19.52
Rectified_Signal:13.57,Rectwin_Envelope:18.89,Hanning_Envelope:19.36
Rectified_Signal:5.42,Rectwin_Envelope:18.95,Hanning_Envelope:19.19
Rectified_Signal:14.39,Rectwin_Envelope:19.04,Hanning_Envelope:19.01
Rectified_Signal:8.59,Rectwin_Envelope:19.18,Hanning_Envelope:18.84
Rectified_Signal:7.39,Rectwin_Envelope:19.27,Hanning_Envelope:18.66
Rectified_Signal:31.33,Rectwin_Envelope:19.30,Hanning_Envelope:18.48
Rectified_Signal:14.64,Rectwin_Envelope:19.17,Hanning_Envelope:18.32
Rectified_Signal:26.59,Rectwin_Envelope:19.20,Hanning_Envelope:18.17
Rectified_Signal:48.32,Rectwin_Envelope:19.39,Hanning_Envelope:18.04
Rectified_Signal:31.25,Rectwin_Envelope:19.22,Hanning_Envelope:17.93
Rectified_Signal:4.74,Rectwin_Envelope:19.11,Hanning_Envelope:17.84
Rectified_Signal:25.21,Rectwin_Envelope:19.50,Hanning_Envelope:17.79
Rectified_Signal:14.76,Rectwin_Envelope:19.43,Hanning_Envelope:17.74
Rectified_Signal:12.73,Rectwin_Envelope:19.04,Hanning_Envelope:17.72
Rectified_Signal:31.21,Rectwin_Envelope:19.14,Hanning_Envelope:17.73
Rectified_Signal:43.12,Rectwin_Envelope:19.25,Hanning_Envelope:17.77
Rectified_Signal:15.85,Rectwin_Envelope:19.01,Hanning_Envelope:17.82
Rectified_Signal:21.81,Rectwin_Envelope:18.84,Hanning_Envelope:17.90
Rectified_Signal:6.79,Rectwin_Envelope:18.88,Hanning_Envelope:18.00
Rectified_Signal:8.77,Rectwin_Envelope:18.85,Hanning_Envelope:18.11
Rectified_Signal:0.77,Rectwin_Envelope:18.83,Hanning_Envelope:18.23
Rectified_Signal:20.19,Rectwin_Envelope:19.17,Hanning_Envelope:18.36
